0,0,125,96,155,19,0,469,497
0,0,125,100,155,19,0,470,497
0,0,125,101,155,19,60,469,496
0,0,125,99,155,19,0,468,498
0,0,125,104,155,19,0,469,498
0,0,125,106,155,19,60,470,497
0,1,125,72,81,20,60,503,499
5,4,126,70,97,19,0,470,497
7,7,126,110,161,18,0,469,495
10,9,127,114,166,18,0,470,495
14,14,127,113,173,19,0,470,496
18,17,129,85,181,18,0,468,496
19,17,130,97,68,19,0,505,498
16,16,131,148,134,19,60,477,512
20,18,133,74,206,19,0,483,511
20,19,135,130,155,21,60,477,475
17,16,137,121,227,19,0,470,496
22,21,139,107,237,19,0,469,497
-1,18,132,102,82,20,42,462,495
8,13,126,96,102,18,0,472,497
10,14,120,90,108,19,0,468,496
10,13,116,83,96,19,0,469,499
11,13,113,78,84,18,60,469,496
11,12,110,74,275,19,0,470,499
9,11,108,69,93,18,0,470,497
9,11,105,65,101,20,0,470,498
11,12,104,59,94,21,60,452,498
13,15,102,53,255,18,0,477,511
19,20,99,45,271,19,60,472,517
18,18,97,38,277,19,60,470,517
9,11,96,34,287,19,0,476,508
1,1,95,34,278,19,60,481,510
6,5,96,32,290,19,0,475,513
9,9,96,94,331,19,0,470,496
4,1,98,93,342,19,0,468,497
8,-5,116,25,125,19,60,478,515
9,-9,144,161,85,18,0,470,496
2,-3,154,163,86,19,0,472,496
1,-1,154,163,86,19,0,470,498
3,-2,163,164,72,19,0,468,496
0,0,164,167,82,19,0,471,496
0,-1,164,181,81,19,0,469,497
1,-1,164,165,81,19,0,469,499
11,9,166,161,58,19,0,471,497
9,7,168,159,59,19,0,469,498
3,-2,173,177,62,19,60,470,497
8,-6,-163,90,56,19,0,470,498
1,-2,-158,115,54,19,0,470,498
4,3,-157,115,52,19,60,469,497
15,13,-155,106,58,19,0,469,498
21,6,-142,96,65,15,0,472,496
14,-12,-102,196,89,19,0,470,497
-1,0,-104,72,89,19,0,470,496
-4,1,-113,159,89,19,0,470,497
0,0,-113,170,87,19,0,469,498
10,10,-112,67,77,19,0,469,498
18,17,-111,94,82,19,60,470,497
23,21,-108,155,40,19,0,469,500
26,24,-106,157,71,19,60,470,497
30,27,-103,88,45,18,0,470,497
26,23,-100,132,55,19,0,470,497
31,29,-97,71,57,19,60,470,496
26,26,-96,103,281,19,60,476,517
30,29,-96,108,521,19,0,468,497
27,27,-95,76,89,18,0,469,496
28,28,-94,73,110,15,0,468,498
22,21,-94,80,135,19,0,468,496
25,23,-92,76,74,19,0,471,497
19,18,-90,57,133,16,0,470,498
7,6,-89,62,134,15,0,468,496
2,2,-89,62,135,15,0,470,496
0,-1,-88,62,135,16,60,469,497
0,0,-88,62,135,17,0,471,496
0,0,-88,62,134,16,0,470,496
1,3,-89,62,135,17,0,472,496
8,0,-81,63,135,19,13,473,495
11,-8,-50,222,64,18,60,484,508
0,-4,-41,223,72,19,0,492,504
0,3,-49,223,78,18,0,496,505
-12,11,-78,61,528,12,60,473,508
-13,12,-118,61,195,19,60,474,512
-9,8,-146,28,233,19,0,467,517
0,2,-149,28,408,19,60,466,517
-1,3,-155,27,408,19,60,485,506
